Customer number;Coupon Code;Date;Receipt id;Discount;Turnover
79879;Welkom_5;12-10-2022;20386678;-5;448.97
71294;Welkom_5;22-10-2022;20395950;-5;339.93
79104;Welkom_5;06-11-2022;20308987;-5;554.66
76712;Welkom_5;11-04-2024;20362869;-5;84.99
83314;Welkom_5;26-06-2024;20314746;-5;487.95
83920;Welkom_5;26-06-2024;20315644;-5;-254.03
82817;Welkom_5;26-06-2024;20315891;-5;194.72
81420;Welkom_5;26-06-2024;20315693;-5;12.84
84029;Welkom_5;26-06-2024;20476362;-5;81.97
84562;Welkom_5;26-06-2024;20314795;-5;75.88
81884;Welkom_5;26-06-2024;20315081;-5;65.01
77709;Welkom_5;26-06-2024;20314449;-5;39.36
80610;Welkom_5;26-06-2024;20315115;-5;335.27
81089;Welkom_5;26-06-2024;20315073;-5;112.18
80462;Welkom_5;26-06-2024;20315529;-5;23.66
83794;Welkom_5;26-06-2024;20314902;-5;16.99
84972;Welkom_5;26-06-2024;20315263;-5;62.89
82573;Welkom_5;26-06-2024;20315586;-5;12.99
80528;Welkom_5;26-06-2024;20314548;-5;108.98
81161;Welkom_5;26-06-2024;20314605;-5;119.98
84466;Welkom_5;26-06-2024;20315792;-5;27.98
84333;Welkom_5;26-06-2024;20315511;-5;403.79
81139;Welkom_5;26-06-2024;20314704;-5;84.98
82724;Welkom_5;26-06-2024;20315370;-5;265.91
84146;Welkom_5;26-06-2024;20314621;-5;20.5
81014;Welkom_5;26-06-2024;20314779;-5;17.99
81605;Welkom_5;26-06-2024;20315867;-5;45.99
80876;Welkom_5;26-06-2024;20314563;-5;75.08
82350;Welkom_5;26-06-2024;20315743;-5;479.89
81252;Welkom_5;26-06-2024;20314829;-5;34.99
80332;Welkom_5;26-06-2024;20315388;-5;264.29
84824;Welkom_5;26-06-2024;20315123;-5;20.98
83191;Welkom_5;26-06-2024;20315941;-5;59.99
82696;Welkom_5;26-06-2024;20314969;-5;62.99
82594;Welkom_5;27-06-2024;20476909;-5;17
82599;Welkom_5;27-06-2024;20317541;-5;63.17
82679;Welkom_5;27-06-2024;20316964;-5;122.14
78135;Welkom_5;27-06-2024;20476941;-5;21.99
79608;Welkom_5;27-06-2024;13526;-5;28.99
82425;Welkom_5;27-06-2024;20316493;-5;444.9
84168;Welkom_5;27-06-2024;20476982;-5;377.09
80486;Welkom_5;27-06-2024;20316501;-5;4.89
78926;Welkom_5;27-06-2024;20317509;-5;224.23
81444;Welkom_5;27-06-2024;20317418;-5;193.91
81109;Welkom_5;27-06-2024;20476719;-4.99;14.5
79629;Welkom_5;27-06-2024;20476974;-5;45.58
78405;Welkom_5;27-06-2024;20477006;-5;44.98
84944;Welkom_5;27-06-2024;20316725;-5;86.12
84200;Welkom_5;27-06-2024;20316923;-5;142.92
83383;Welkom_5;27-06-2024;20316972;-5;18.35
83900;Welkom_5;27-06-2024;20316626;-5;161.98
83728;Welkom_5;27-06-2024;20476867;-5;152.15
81963;Welkom_5;27-06-2024;20316071;-5;0.95
84053;Welkom_5;27-06-2024;20317368;-5;57.13
81432;Welkom_5;27-06-2024;20317590;-5;1563.98
82321;Welkom_5;27-06-2024;20317053;-5;323.43
82403;Welkom_5;27-06-2024;20476701;-5;212.53
84397;Welkom_5;27-06-2024;20316105;-5;368.94
82438;Welkom_5;27-06-2024;20476966;-5;48.91
81064;Welkom_5;27-06-2024;20317426;-5;452.84
81392;Welkom_5;28-06-2024;20317772;-5;-8.99
84327;Welkom_5;28-06-2024;20318176;-5;65.98
83081;Welkom_5;28-06-2024;20319851;-5;28.35
81351;Welkom_5;28-06-2024;20319323;-5;30.98
83870;Welkom_5;28-06-2024;20317798;-5;11.5
81567;Welkom_5;28-06-2024;20318887;-5;20.48
84385;Welkom_5;28-06-2024;20318226;-5;68.99
84051;Welkom_5;28-06-2024;20318796;-5;28.9
83888;Welkom_5;28-06-2024;20319661;-5;119.21
83600;Welkom_5;28-06-2024;20319786;-5;130
77906;Welkom_5;28-06-2024;20319083;-5;154.48
81256;Welkom_5;28-06-2024;20318598;-5;151.71
84257;Welkom_5;28-06-2024;20477121;-5;14.99
81993;Welkom_5;28-06-2024;20319158;-5;79.97
80072;Welkom_5;28-06-2024;20477402;-5;44.73
82890;Welkom_5;28-06-2024;20477246;-5;59.58
83376;Welkom_5;28-06-2024;20317756;-5;67.99
83492;Welkom_5;28-06-2024;20317996;-5;16.34
80774;Welkom_5;28-06-2024;20319869;-5;78.46
84434;Welkom_5;28-06-2024;20318267;-3.98;0
82185;Welkom_5;28-06-2024;20318648;-5;33.22
84833;Welkom_5;28-06-2024;20317871;-5;28.6
81922;Welkom_5;28-06-2024;20319331;-5;375.3
80316;Welkom_5;28-06-2024;20319760;-5;347.99
80685;Welkom_5;28-06-2024;20319265;-5;21
83674;Welkom_5;28-06-2024;20318846;-5;174.98
81345;Welkom_5;28-06-2024;20317962;-5;20.99
84977;Welkom_5;28-06-2024;20477147;-5;37.73
79353;Welkom_5;28-06-2024;20319232;-5;63.13
82597;Welkom_5;28-06-2024;20319950;-5;69.98
82170;Welkom_5;28-06-2024;20318192;-5;116.49
84486;Welkom_5;28-06-2024;20318044;-5;54.99
80039;Welkom_5;28-06-2024;20318010;-5;57.14
83026;Welkom_5;28-06-2024;20319034;-5;32.84
82445;Welkom_5;28-06-2024;20319992;-5;391.74
82564;Welkom_5;28-06-2024;20318168;-5;32.98
83604;Welkom_5;28-06-2024;20318929;-5;41.44
83793;Welkom_5;28-06-2024;20477196;-5;283.95
84789;Welkom_5;28-06-2024;20318531;-5;370.76
82181;Welkom_5;28-06-2024;20318762;-5;350.88
83741;Welkom_5;28-06-2024;20317905;-5;77.99
81448;Welkom_5;28-06-2024;20477162;-5;102.08
81277;Welkom_5;28-06-2024;20477154;-5;42.56
84593;Welkom_5;28-06-2024;20318945;-5;300.09
84109;Welkom_5;28-06-2024;20477485;-5;89.16
80440;Welkom_5;28-06-2024;20318085;-5;37.06
80851;Welkom_5;28-06-2024;20319570;-5;23
83809;Welkom_5;28-06-2024;20320016;-5;94.97
82818;Welkom_5;29-06-2024;20322996;-5;229.43
84758;Welkom_5;29-06-2024;20323002;-5;77.46
81269;Welkom_5;29-06-2024;20478186;-5;17.45
83626;Welkom_5;30-06-2024;20479911;-5;153.16
83754;Welkom_5;30-06-2024;20324810;-5;64.96
84540;Welkom_5;30-06-2024;20323572;-5;103.97
79045;Welkom_5;30-06-2024;20479671;-5;50.24
81166;Welkom_5;30-06-2024;20324802;-5;35.36
81692;Welkom_5;30-06-2024;20324877;-5;104.98
83577;Welkom_5;30-06-2024;20324786;-5;42.78
81612;Welkom_5;30-06-2024;20479069;-5;84.71
83615;Welkom_5;30-06-2024;20324018;-5;52.98
82787;Welkom_5;30-06-2024;20479515;-5;176.53
80087;Welkom_5;30-06-2024;20323580;-5;99.43
83806;Welkom_5;30-06-2024;20479382;-5;192.97
84231;Welkom_5;30-06-2024;20324893;-5;878.25
81506;Welkom_5;30-06-2024;20479390;-5;43.62
82619;Welkom_5;30-06-2024;20324554;-5;254.99
80740;Welkom_5;30-06-2024;20324414;-5;270.82
81749;Welkom_5;30-06-2024;20324216;-5;51.98
84027;Welkom_5;30-06-2024;20479283;-5;482.02
82448;Welkom_5;30-06-2024;20324364;-5;201.72
81440;Welkom_5;30-06-2024;20479895;-5;53.06
80997;Welkom_5;30-06-2024;20323937;-5;165.94
82041;Welkom_5;30-06-2024;20323721;-5;38.23
78357;Welkom_5;30-06-2024;20479101;-5;106.92
83044;Welkom_5;30-06-2024;20479028;-5;55.98
84620;Welkom_5;30-06-2024;20479036;-5;36.62
82529;Welkom_5;30-06-2024;20479549;-5;291.28
82123;Welkom_5;30-06-2024;20323325;-5;169.9
79250;Welkom_5;30-06-2024;20324182;-5;59.98
81475;Welkom_5;30-06-2024;20324497;-5;250.38
82151;Welkom_5;30-06-2024;20479432;-5;236.08
83762;Welkom_5;30-06-2024;20479200;-5;53.35
84178;Welkom_5;30-06-2024;20323259;-5;129.98
83588;Welkom_5;30-06-2024;20479580;-5;2094
83338;Welkom_5;30-06-2024;20324729;-5;14.98
84123;Welkom_5;30-06-2024;20323614;-5;12.94
81267;Welkom_5;30-06-2024;20479523;-5;18.98
84286;Welkom_5;30-06-2024;20323929;-5;29.99
81718;Welkom_5;30-06-2024;20324430;-5;594
83003;Welkom_5;30-06-2024;20324794;-5;40.95
84422;Welkom_5;30-06-2024;20479481;-5;7.5
84160;Welkom_5;30-06-2024;20479572;-5;119.99
80260;Welkom_5;30-06-2024;20324745;-5;51.64
84358;Welkom_5;30-06-2024;20324521;-5;81.44
82644;Welkom_5;30-06-2024;20479234;-5;357.34
81848;Welkom_5;30-06-2024;20479465;-5;1.5
81073;Welkom_5;30-06-2024;20323739;-5;44.95
84071;Welkom_5;30-06-2024;20324620;-5;52.97
82785;Welkom_5;30-06-2024;20324174;-5;105.77
81491;Welkom_5;30-06-2024;20324471;-5;251.15
80713;Welkom_5;30-06-2024;20479275;-5;99.26
80012;Welkom_5;30-06-2024;20479564;-5;74.98
80974;Welkom_5;30-06-2024;20479770;-5;314.4
84812;Welkom_5;30-06-2024;20479317;-5;134.94
80207;Welkom_5;30-06-2024;20324158;-5;82.97
82858;Welkom_5;30-06-2024;20479531;-5;6.69
84693;Welkom_5;30-06-2024;20479499;-5;147.94
84513;Welkom_5;30-06-2024;20324844;-5;107.13
80455;Welkom_5;30-06-2024;20479184;-5;179.97
83253;Welkom_5;30-06-2024;20324836;-5;35
77265;Welkom_5;30-06-2024;20479820;-5;45.99
84297;Welkom_5;30-06-2024;20479093;-5;184
80420;Welkom_5;30-06-2024;20324539;-5;114.16
81233;Welkom_5;30-06-2024;20324752;-5;104.86
84688;Welkom_5;30-06-2024;20479051;-5;194.98
81489;Welkom_5;30-06-2024;20479507;-5;312.89
83490;Welkom_5;30-06-2024;20323499;-5;29.95
80134;Welkom_5;30-06-2024;20324240;-5;194.98
84277;Welkom_5;30-06-2024;20324059;-5;45.99
83964;Welkom_5;30-06-2024;20479614;-5;367
82973;Welkom_5;01-07-2024;20326906;-5;67.92
83680;Welkom_5;01-07-2024;20325759;-5;68.97
81025;Welkom_5;01-07-2024;20325726;-5;85.9
80894;Welkom_5;01-07-2024;20326310;-5;119.98
84045;Welkom_5;01-07-2024;20325262;-5;190.31
82197;Welkom_5;01-07-2024;20326021;-5;42.14
82063;Welkom_5;01-07-2024;20325254;-5;89.47
82977;Welkom_5;01-07-2024;20325692;-5;93.47
83239;Welkom_5;01-07-2024;20325767;-5;332.11
83365;Welkom_5;01-07-2024;20325387;-5;40.5
80003;Welkom_5;01-07-2024;20326005;-5;64.5
83579;Welkom_5;01-07-2024;20480075;-4.95;0
84797;Welkom_5;01-07-2024;20325353;-5;147.61
82799;Welkom_5;01-07-2024;20325296;-5;16.9
83807;Welkom_5;01-07-2024;20326088;-5;36.6
80687;Welkom_5;01-07-2024;20325478;-5;169.97
84073;Welkom_5;01-07-2024;20325643;-5;144.95
82885;Welkom_5;01-07-2024;20325601;-5;120
84480;Welkom_5;01-07-2024;20325395;-5;0.95
84472;Welkom_5;01-07-2024;20480208;-5;84.03
84753;Welkom_5;01-07-2024;20325569;-5;29.44
83156;Welkom_5;01-07-2024;20325700;-5;66.87
84386;Welkom_5;01-07-2024;20326435;-5;56.93
80022;Welkom_5;01-07-2024;20326807;-5;137.02
82184;Welkom_5;01-07-2024;20326864;-5;27.74
80164;Welkom_5;01-07-2024;20326146;-5;94.98
83094;Welkom_5;01-07-2024;20326104;-5;403.05
84011;Welkom_5;01-07-2024;20325163;-5;134.4
83931;Welkom_5;01-07-2024;20326062;-5;43.79
81726;Welkom_5;01-07-2024;20325304;-5;62.94
84080;Welkom_5;01-07-2024;20325809;-5;279.01
84658;Welkom_5;02-07-2024;20327961;-5;130.95
81501;Welkom_5;02-07-2024;20328563;-5;143.96
82353;Welkom_5;02-07-2024;20327813;-5;60.16
80641;Welkom_5;02-07-2024;20327680;-5;43.99
80239;Welkom_5;02-07-2024;20327854;-5;49.92
84795;Welkom_5;02-07-2024;20327649;-5;152.94
82271;Welkom_5;02-07-2024;20328191;-5;75.73
77890;Welkom_5;02-07-2024;20328308;-5;43.49
84211;Welkom_5;02-07-2024;20327334;-5;214.99
83782;Welkom_5;02-07-2024;20328100;-5;156
82254;Welkom_5;02-07-2024;20327300;-5;84.99
81050;Welkom_5;02-07-2024;20328522;-5;222.34
82325;Welkom_5;02-07-2024;20328506;-5;692.92
84726;Welkom_5;02-07-2024;20328142;-5;11.5
80642;Welkom_5;03-07-2024;20329488;-5;74.98
84126;Welkom_5;03-07-2024;20329967;-5;63.09
84880;Welkom_5;03-07-2024;20329983;-5;137.46
84204;Welkom_5;03-07-2024;20329827;-5;309.99
81685;Welkom_5;03-07-2024;20329793;-5;114.97
83778;Welkom_5;03-07-2024;20328993;-5;154.42
84148;Welkom_5;03-07-2024;20480430;-5;214.88
84636;Welkom_5;03-07-2024;20328738;-5;132.93
82230;Welkom_5;03-07-2024;20328969;-5;134.93
81888;Welkom_5;03-07-2024;20330247;-5;274.89
79750;Welkom_5;03-07-2024;20329926;-5;120.45
84746;Welkom_5;03-07-2024;20330023;-5;42.28
82489;Welkom_5;03-07-2024;20328951;-5;247.99
83635;Welkom_5;03-07-2024;20480455;-5;47.98
81517;Welkom_5;03-07-2024;20328852;-5;64.99
82797;Welkom_5;03-07-2024;20329918;-5;77.44
81837;Welkom_5;03-07-2024;20329256;-5;57.03
82627;Welkom_5;03-07-2024;20330007;-5;20.49
82333;Welkom_5;03-07-2024;20329249;-5;67.95
81681;Welkom_5;03-07-2024;20329538;-5;262.25
84883;Welkom_5;03-07-2024;13571;-5;14.99
82499;Welkom_5;03-07-2024;20329975;-5;96.89
81732;Welkom_5;03-07-2024;20329751;-5;27.97
82673;Welkom_5;04-07-2024;20332268;-5;262.14
80203;Welkom_5;04-07-2024;20480596;-5;64.99
81638;Welkom_5;04-07-2024;20330866;-5;113.99
80176;Welkom_5;04-07-2024;20332185;-5;81.83
80841;Welkom_5;04-07-2024;20331815;-5;105.39
84909;Welkom_5;04-07-2024;20480679;-5;114.99
77420;Welkom_5;04-07-2024;20331344;-5;131.45
81790;Welkom_5;04-07-2024;20330916;-5;8.94
78031;Welkom_5;04-07-2024;20480638;-5;90.95
83692;Welkom_5;04-07-2024;20480976;-5;124.44
84343;Welkom_5;04-07-2024;13575;-5;124.95
82751;Welkom_5;04-07-2024;20330932;-5;12.98
81784;Welkom_5;04-07-2024;20331427;-5;74.87
83449;Welkom_5;04-07-2024;20331831;-5;28.96
81033;Welkom_5;04-07-2024;20331278;-5;149.97
84199;Welkom_5;04-07-2024;20330734;-5;12.98
81117;Welkom_5;04-07-2024;20480836;-5;35.65
83196;Welkom_5;04-07-2024;20480687;-5;10.99
83769;Welkom_5;04-07-2024;20331203;-5;137.97
84329;Welkom_5;04-07-2024;20480851;-5;122.73
81514;Welkom_5;04-07-2024;20330981;-5;60.94
82043;Welkom_5;04-07-2024;20480646;-5;106.98
81584;Welkom_5;04-07-2024;20480778;-5;46.4
82609;Welkom_5;04-07-2024;20331864;-5;87.97
84904;Welkom_5;04-07-2024;20332375;-5;1070.49
