"Customer number";"Coupon Code";Date;"Receipt id";Discount;Turnover
79879;Welkom_5;2022-10-12;0020386678;-5;448.97
71294;Welkom_5;2022-10-22;0020395950;-5;339.93
79104;Welkom_5;2022-11-06;0020308987;-5;554.66
76712;Welkom_5;2024-04-11;0020362869;-5;84.99
83314;Welkom_5;2024-06-26;0020314746;-5;487.95
83920;Welkom_5;2024-06-26;0020315644;-5;-254.03
82817;Welkom_5;2024-06-26;0020315891;-5;194.72
81420;Welkom_5;2024-06-26;0020315693;-5;12.84
84029;Welkom_5;2024-06-26;0020476362;-5;81.97
84562;Welkom_5;2024-06-26;0020314795;-5;75.88
81884;Welkom_5;2024-06-26;0020315081;-5;65.01
77709;Welkom_5;2024-06-26;0020314449;-5;39.36
80610;Welkom_5;2024-06-26;0020315115;-5;335.27
81089;Welkom_5;2024-06-26;0020315073;-5;112.18
80462;Welkom_5;2024-06-26;0020315529;-5;23.66
83794;Welkom_5;2024-06-26;0020314902;-5;16.99
84972;Welkom_5;2024-06-26;0020315263;-5;62.89
82573;Welkom_5;2024-06-26;0020315586;-5;12.99
80528;Welkom_5;2024-06-26;0020314548;-5;108.98
81161;Welkom_5;2024-06-26;0020314605;-5;119.98
84466;Welkom_5;2024-06-26;0020315792;-5;27.98
84333;Welkom_5;2024-06-26;0020315511;-5;403.79
81139;Welkom_5;2024-06-26;0020314704;-5;84.98
82724;Welkom_5;2024-06-26;0020315370;-5;265.91
84146;Welkom_5;2024-06-26;0020314621;-5;20.5
81014;Welkom_5;2024-06-26;0020314779;-5;17.99
81605;Welkom_5;2024-06-26;0020315867;-5;45.99
80876;Welkom_5;2024-06-26;0020314563;-5;75.08
82350;Welkom_5;2024-06-26;0020315743;-5;479.89
81252;Welkom_5;2024-06-26;0020314829;-5;34.99
80332;Welkom_5;2024-06-26;0020315388;-5;264.29
84824;Welkom_5;2024-06-26;0020315123;-5;20.98
83191;Welkom_5;2024-06-26;0020315941;-5;59.99
82696;Welkom_5;2024-06-26;0020314969;-5;62.99
82594;Welkom_5;2024-06-27;0020476909;-5;17
82599;Welkom_5;2024-06-27;0020317541;-5;63.17
82679;Welkom_5;2024-06-27;0020316964;-5;122.14
78135;Welkom_5;2024-06-27;0020476941;-5;21.99
79608;Welkom_5;2024-06-27;13526;-5;28.99
82425;Welkom_5;2024-06-27;0020316493;-5;444.9
84168;Welkom_5;2024-06-27;0020476982;-5;377.09
80486;Welkom_5;2024-06-27;0020316501;-5;4.89
78926;Welkom_5;2024-06-27;0020317509;-5;224.23
81444;Welkom_5;2024-06-27;0020317418;-5;193.91
81109;Welkom_5;2024-06-27;0020476719;-4.99;14.5
79629;Welkom_5;2024-06-27;0020476974;-5;45.58
78405;Welkom_5;2024-06-27;0020477006;-5;44.98
84944;Welkom_5;2024-06-27;0020316725;-5;86.12
84200;Welkom_5;2024-06-27;0020316923;-5;142.92
83383;Welkom_5;2024-06-27;0020316972;-5;18.35
83900;Welkom_5;2024-06-27;0020316626;-5;161.98
83728;Welkom_5;2024-06-27;0020476867;-5;152.15
81963;Welkom_5;2024-06-27;0020316071;-5;0.95
84053;Welkom_5;2024-06-27;0020317368;-5;57.13
81432;Welkom_5;2024-06-27;0020317590;-5;1563.98
82321;Welkom_5;2024-06-27;0020317053;-5;323.43
