klantnummer,datum,pricing_code,member_deal,discount,omzet,categorie
35642,20-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-7.7,70.29,Kamperen
92843,20-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,94.74,Kamperen
60382,21-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,50.46,Kamperen
89026,21-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,619.6,Kamperen
98587,22-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.8,444.65,Kamperen
10472,22-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.8,255.03,Kamperen
39972,23-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,29.81,Kamperen
14475,23-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.4,55.25,Kamperen
31854,25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.5,54.98,Kamperen
33155,25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.85,34.65,Kamperen
39243,25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,161.46,Kamperen
83059,26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.7,24.28,Kamperen
54775,26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,102.87,Kamperen
102516,26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,20.78,Kamperen
85844,26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.9,25.57,Kamperen
13226,27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-8,531.29,Kamperen
95262,27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,21.69,Kamperen
13884,27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,27.44,Kamperen
84208,27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,15.68,Kamperen
34021,27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,10.79,Kamperen
80378,27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,100.78,Kamperen
78673,28-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.5,62.65,Kamperen
89854,28-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-5,321.85,Kamperen
82573,29-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,43.63,Kamperen
81912,30-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-0.8,50.96,Kamperen
18434,31-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.8,131.11,Kamperen
97115,1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,60.78,Kamperen
108453,1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,43.72,Kamperen
84939,1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,15.29,Kamperen
43340,2-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,19.78,Kamperen
15139,3-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.1,9.89,Kamperen
38439,3-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-6.5,103.47,Kamperen
10557,4-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,157.94,Kamperen
38433,4-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,37.74,Kamperen
98046,5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,54.91,Kamperen
89828,5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,53.55,Kamperen
86066,5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,10.79,Kamperen
40627,5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,30.58,Kamperen
42154,6-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-6.3,89.17,Kamperen
12257,7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,71.54,Kamperen
62000,7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,223.1,Kamperen
42078,7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,75.86,Kamperen
81633,7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-4.5,665.15,Kamperen
89354,7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,214.52,Kamperen
39281,8-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,65.25,Kamperen
83993,8-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,15.73,Kamperen
60944,9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.9,70.87,Kamperen
95182,9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,15.78,Kamperen
82751,9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,87.56,Kamperen
43136,10-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,24.27,Kamperen
37781,10-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,31.68,Kamperen
73380,22-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,54.87,Casual
32066,23-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,41.18,Casual
30636,23-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,513,Casual
87959,27-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,134.17,Casual
105456,6-6-2026,MBR-BAB-10,Bamboo Basic 10%,-19.2,362.72,Casual
37828,20-5-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
104236,20-5-2026,MBR-FAL-10,Falke 10%,-2.7,407.82,Outdoor
105361,20-5-2026,MBR-FAL-10,Falke 10%,-5.4,48.58,Outdoor
105361,20-5-2026,MBR-FAL-10,Falke 10%,-12,110.95,Outdoor
80186,20-5-2026,MBR-FAL-10,Falke 10%,-2,96.97,Outdoor
43349,20-5-2026,MBR-FAL-10,Falke 10%,-4,123.96,Outdoor
34723,20-5-2026,MBR-FAL-10,Falke 10%,-2.7,46.27,Outdoor
29670,21-5-2026,MBR-FAL-10,Falke 10%,-2.4,221.07,Outdoor
38243,22-5-2026,MBR-FAL-10,Falke 10%,-2.4,468.98,Outdoor
36246,22-5-2026,MBR-FAL-10,Falke 10%,-2.7,169.27,Outdoor
54179,22-5-2026,MBR-FAL-10,Falke 10%,-2.4,61.58,Outdoor
63109,22-5-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
42389,23-5-2026,MBR-FAL-10,Falke 10%,-1.2,66.36,Outdoor
99604,23-5-2026,MBR-FAL-10,Falke 10%,-5,156.92,Outdoor
30913,25-5-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
40193,25-5-2026,MBR-FAL-10,Falke 10%,-2.7,473.7,Outdoor
70258,25-5-2026,MBR-FAL-10,Falke 10%,-10.5,169.41,Outdoor
35750,26-5-2026,MBR-FAL-10,Falke 10%,-2.7,30.28,Outdoor
30943,26-5-2026,MBR-FAL-10,Falke 10%,-3.4,280.52,Outdoor
108955,26-5-2026,MBR-FAL-10,Falke 10%,-4.8,38.18,Outdoor
13842,26-5-2026,MBR-FAL-10,Falke 10%,-4.8,43.18,Outdoor
107011,26-5-2026,MBR-FAL-10,Falke 10%,-5.7,247.25,Outdoor
86269,27-5-2026,MBR-FAL-10,Falke 10%,-2.4,291.48,Outdoor
37828,27-5-2026,MBR-FAL-10,Falke 10%,-2.4,341.55,Outdoor
87369,27-5-2026,MBR-FAL-10,Falke 10%,-2.7,41.79,Outdoor
36250,27-5-2026,MBR-FAL-10,Falke 10%,-8.4,225.29,Outdoor
78673,28-5-2026,MBR-FAL-10,Falke 10%,-4.8,62.65,Outdoor
40099,29-5-2026,MBR-FAL-10,Falke 10%,-4.1,151.86,Outdoor
94148,29-5-2026,MBR-FAL-10,Falke 10%,-2.4,201.58,Outdoor
43302,29-5-2026,MBR-FAL-10,Falke 10%,-2.4,232.03,Outdoor
15140,29-5-2026,MBR-FAL-10,Falke 10%,-9.9,89.06,Outdoor
93968,29-5-2026,MBR-FAL-10,Falke 10%,-2.4,21.59,Outdoor
2985,29-5-2026,MBR-FAL-10,Falke 10%,-2.7,225.73,Outdoor
39648,30-5-2026,MBR-FAL-10,Falke 10%,-2.4,237.03,Outdoor
12242,30-5-2026,MBR-FAL-10,Falke 10%,-2.7,222.2,Outdoor
40681,30-5-2026,MBR-FAL-10,Falke 10%,-10.4,123.55,Outdoor
14669,31-5-2026,MBR-FAL-10,Falke 10%,-2.7,120.87,Outdoor
15042,31-5-2026,MBR-FAL-10,Falke 10%,-4,185.97,Outdoor
18418,31-5-2026,MBR-FAL-10,Falke 10%,-6,95.96,Outdoor
31461,31-5-2026,MBR-FAL-10,Falke 10%,-2.4,261.58,Outdoor
103403,31-5-2026,MBR-FAL-10,Falke 10%,-4.1,31.88,Outdoor
91377,31-5-2026,MBR-FAL-10,Falke 10%,-3.6,355.33,Outdoor
12902,1-6-2026,MBR-FAL-10,Falke 10%,-2,250.11,Outdoor
106322,1-6-2026,MBR-FAL-10,Falke 10%,-13.9,120.05,Outdoor
14358,1-6-2026,MBR-FAL-10,Falke 10%,-2,-17,Outdoor
86110,1-6-2026,MBR-FAL-10,Falke 10%,-2.7,358.26,Outdoor
93968,2-6-2026,MBR-FAL-10,Falke 10%,-2.4,21.59,Outdoor
10357,2-6-2026,MBR-FAL-10,Falke 10%,-3,153.1,Outdoor
96442,2-6-2026,MBR-FAL-10,Falke 10%,-5.4,525.47,Outdoor
83503,2-6-2026,MBR-FAL-10,Falke 10%,-4,63.97,Outdoor
19838,2-6-2026,MBR-FAL-10,Falke 10%,-2.7,24.29,Outdoor
15468,3-6-2026,MBR-FAL-10,Falke 10%,-2,102.97,Outdoor
101790,3-6-2026,MBR-FAL-10,Falke 10%,-2.7,362.79,Outdoor
41672,5-6-2026,MBR-FAL-10,Falke 10%,-5.4,169.19,Outdoor
13973,5-6-2026,MBR-FAL-10,Falke 10%,-2.4,101.57,Outdoor
40406,5-6-2026,MBR-FAL-10,Falke 10%,-5,44.99,Outdoor
32189,6-6-2026,MBR-FAL-10,Falke 10%,-2.4,54.58,Outdoor
32189,6-6-2026,MBR-FAL-10,Falke 10%,-2.4,21.59,Outdoor
