datum,pricing_code,member_deal,discount,omzet,categorie
20-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-7.7,70.29,Kamperen
20-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,94.74,Kamperen
21-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,50.46,Kamperen
21-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,619.6,Kamperen
22-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.8,444.65,Kamperen
22-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.8,255.03,Kamperen
23-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,29.81,Kamperen
23-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.4,55.25,Kamperen
25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.5,54.98,Kamperen
25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.85,34.65,Kamperen
25-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,161.46,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.7,24.28,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,102.87,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,20.78,Kamperen
26-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.9,25.57,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-8,531.29,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,21.69,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,27.44,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.3,15.68,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,10.79,Kamperen
27-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,100.78,Kamperen
28-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.5,62.65,Kamperen
28-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-5,321.85,Kamperen
29-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,43.63,Kamperen
30-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-0.8,50.96,Kamperen
31-5-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.8,131.11,Kamperen
1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,60.78,Kamperen
1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,43.72,Kamperen
1-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,15.29,Kamperen
2-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,19.78,Kamperen
3-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.1,9.89,Kamperen
3-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-6.5,103.47,Kamperen
4-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,157.94,Kamperen
4-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,37.74,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,54.91,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,53.55,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,10.79,Kamperen
5-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,30.58,Kamperen
6-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-6.3,89.17,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,71.54,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1,223.1,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,75.86,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-4.5,665.15,Kamperen
7-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,214.52,Kamperen
8-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.2,65.25,Kamperen
8-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,15.73,Kamperen
9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-3.9,70.87,Kamperen
9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,15.78,Kamperen
9-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-2.4,87.56,Kamperen
10-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.7,24.27,Kamperen
10-6-2026,MBR-123-10,123products schoonmaakartikelen 10%,-1.2,31.68,Kamperen
22-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,54.87,Casual
23-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,41.18,Casual
23-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,513,Casual
27-5-2026,MBR-BAB-10,Bamboo Basic 10%,-3.8,134.17,Casual
6-6-2026,MBR-BAB-10,Bamboo Basic 10%,-19.2,362.72,Casual
