Vereniging ID;Vereniging;Sport;Aantal leden;Aantal members
TWV_Veenscheboys;Veenscheboys ;Voetbal;850;0
TWV_VV_Sparta_Nijkerk;VV Sparta Nijkerk;Voetbal;1400;0
TWV_Terschuurseboys;Terschuurse Boys;Voetbal;;0
TWV_VOP;VOP;Voetbal;;0
TWV_MHC_Hoevelaken;MHC Hoevelaken;Hockey;300;15
TWV_HC_Eemvallei;HC Eemvallei;Hockey;;0
TWV_AVV_Keistad;AVV Keistad;Volleybal;500;0
TWV_NVC_Nijkerk;NVC Nijkerk;Volleybal;230;0
TWV_Froza_Hoogland;Froza Hoogland;Volleybal;400;0
TWV_HV_Voice;HV Voice;Handbal;200;0
TWV_HVBS;HVBS;Handbal;225;0
TWV_KV_Telstar;KV Telstar;Korfbal;;0
TWV_KV_Revival;KV Revival;Korfbal;;0
TWV_TV_Sparta_Nijkerk;TV Sparta Nijkerk;Tennis;650;55
TWV_TV_Hooglanderveen;TV Hooglanderveen;Tennis;400;0
TWV_LTC_Barneveld;LTC Barneveld;Tennis;750;49
TWV_Tennisschool_Maat;Tennisschool Maat;Tennis;;0
TWV_TC_De_Harremaat;TC De Harremaat;Tennis;;6
TWV_PLTC_De_Vale_Ouwe;De Vale Ouwe;Tennis;;1
TWV_AGV_De_Springbokken;De Springbokken;gymnastiek;;0
TWV_GymXL;GymXL;Fitness;;0
TWV_Sportiva;Sportiva;Hardlopen;;0
TWV_Badabounce;Badabounce;Dans;;0
TWV_BC_Nijkerk;BC Nijkerk;Badminton;;0
TWV_SC_Hoevelaken;SC Hoevelaken ;Voetbal;900;0
TWV_HC_Nijkerk;HC Nijkerk;Hockey;;16
TWV_TC_De_Punt;TC De Punt;Tennis;140;8
