klantnummer;datum;pricing_code;vereniging_deal;discount;omzet
104468;17-11-2025;HCNijkerk;10% Hockey;-4;30.99
39929;21-11-2025;HCNijkerk;10% Hockey;-6.8;61.18
90596;24-11-2025;HCNijkerk;10% Hockey;-2.8;58.43
54438;25-11-2025;HCNijkerk;10% Hockey;-2.8;25.19
54438;05-03-2026;HCNijkerk;10% Hockey;-6.5;123.47
85769;28-03-2026;HCNijkerk;10% Hockey;-3;46.98
75980;09-04-2024;LTCBarneveld;10% Tennis;-5;184.98
75980;10-04-2024;LTCBarneveld;10% Tennis;-5;9.99
103646;29-09-2025;MHCHoevelaken;10% Hockey;-1,7;115,28
84865;13-03-2025;TV Sparta nijke;10% Voetbal;-2.75;24.75
84865;27-03-2025;TV Sparta nijke;10% Voetbal;-7;0
37254;28-03-2025;TV Sparta nijke;10% Voetbal;-8;26.99
82973;29-03-2025;TV Sparta nijke;10% Voetbal;-26.9;217.82
82973;29-03-2025;TV Sparta nijke;10% Voetbal;-1.4;55.37
89147;05-04-2025;TV Sparta nijke;10% Voetbal;-8;26.99
98319;12-04-2025;TV Sparta nijke;10% Voetbal;-31;168.96
37254;29-05-2025;TV Sparta nijke;10% Voetbal;-12;210.15
89147;19-06-2025;TV Sparta nijke;10% Voetbal;-43;386.98
98319;28-06-2025;TV Sparta nijke;10% Voetbal;-8.5;302.4
37254;09-08-2025;TV Sparta nijke;10% Voetbal;-9;102.97
89147;16-08-2025;TV Sparta nijke;10% Voetbal;-1.2;45.78
11455;22-08-2025;TV Sparta nijke;10% Voetbal;-12;107.99
89147;28-08-2025;TV Sparta nijke;10% Voetbal;-2.06;48.43
109250;02-09-2025;TV Sparta nijke;10% Voetbal;-4;165.98
71857;27-10-2025;TV Sparta nijke;10% Voetbal;-13;126.88
90505;06-11-2025;TV Sparta nijke;10% Voetbal;-1.05;9.45
35157;17-11-2025;TV Sparta nijke;10% Voetbal;-1.6;14.39
71857;05-12-2025;TV Sparta nijke;10% Voetbal;-1.6;44.38
43937;12-12-2025;TV Sparta nijke;10% Voetbal;-2.1;48.88
38240;02-01-2026;TV Sparta nijke;10% Voetbal;-1.6;14.39
89147;31-03-2026;TV Sparta nijke;10% Voetbal;-1.06;37.44
109250;19-05-2026;TV Sparta nijke;10% Voetbal;-6;83.98
